NAME,LATITUDE,LONGITUDE,NEIGHBORHOOD_NAME
KAĞITHANE,41.07552344,28.96980524,GÜRSEL
SANCAKTEPE,40.99270409,29.223129,ABDURRAHMANGAZİ
ESENYURT,41.02523913,28.65928705,YEŞİLKENT
ESENYURT,41.03699088,28.62478209,ATATÜRK
BÜYÜKÇEKMECE,41.01840194,28.63257349,CUMHURİYET
ÜSKÜDAR,41.00983903,29.01226015,SELİMİYE
BAĞCILAR,41.04140457,28.83227784,GÜNEŞLİ
ESENYURT,41.06737905,28.64951142,AKÇABURGAZ
GAZİOSMANPAŞA,41.06827877,28.90753223,ŞEMSİPAŞA
KÜÇÜKÇEKMECE,41.04893356,28.7996952,ATATÜRK
BEYLİKDÜZÜ,40.98367542,28.64388918,KAVAKLI
ESENYURT,41.02222481,28.70110036,AKŞEMSEDDİN
ARNAVUTKÖY,41.18601276,28.73928928,ARNAVUTKÖY MERKEZ
BÜYÜKÇEKMECE,41.01046948,28.53174022,MİMAROBA
SULTANBEYLİ,40.95069492,29.2818336,YAVUZ SELİM
ZEYTİNBURNU,41.00979678,28.907605,SEYİTNİZAM
BAĞCILAR,41.0370494,28.84613082,YAVUZ SELİM
KADIKÖY,40.98061711,29.04183468,FENERBAHÇE
KAĞITHANE,41.08103855,28.98676537,ÇAĞLAYAN
SİLİVRİ,41.08185536,28.21834158,MİMAR SİNAN
BEŞİKTAŞ,41.05508747,28.99931091,DİKİLİTAŞ
ŞİŞLİ,41.06122011,29.00124934,FULYA
ZEYTİNBURNU,41.02846585,28.91659513,TOZKOPARAN
SİLİVRİ,41.0910949,28.3281697,KAVAKLI
TUZLA,40.94460061,29.38799711,TEPEÖREN
ÇATALCA,41.22746255,28.49171624,KESTANELİK
SULTANBEYLİ,40.95121784,29.29730485,AKŞEMSETTİN
BAŞAKŞEHİR,,,
BEYLİKDÜZÜ,41.0047102,28.66441315,YAKUPLU
KADIKÖY,40.97045161,29.10110514,KOZYATAĞI
SİLİVRİ,41.0499225,28.39087994,SELİMPAŞA
ARNAVUTKÖY,41.17913976,28.70304094,HARAÇÇI
KADIKÖY,40.98346922,29.09190576,SAHRAYICEDİT
BÜYÜKÇEKMECE,41.01460591,28.54619023,MİMAR SİNAN
EYÜPSULTAN,41.04165762,28.91991842,TOPÇULAR
MALTEPE,40.91444451,29.14083401,YALI
ARNAVUTKÖY,41.11753578,28.6294065,ÖMERLİ
BÜYÜKÇEKMECE,41.03538576,28.44583136,KAMİLOBA
TUZLA,40.8939344,29.35516815,ORHANLI
ESENYURT,41.03196841,28.67431515,BAĞLARÇEŞME
KARTAL,40.91082712,29.19910787,SOĞANLIK YENİ
ARNAVUTKÖY,41.09169625,28.63411926,ÖMERLİ
ATAŞEHİR,40.98135375,29.16506433,FERHATPAŞA
ÇATALCA,41.11605161,28.45046913,ÇAKIL
SARIYER,41.1177242,29.06441979,YENİKÖY
KADIKÖY,40.97485903,29.05216014,FENERBAHÇE
FATİH,41.00707534,28.93679318,HASEKİ SULTAN
SİLİVRİ,41.07458129,28.2617832,YENİ
BEYLİKDÜZÜ,40.98881815,28.66760101,YAKUPLU
ARNAVUTKÖY,41.18348043,28.59808428,YASSIÖREN
ŞİŞLİ,41.04468951,28.97831723,ESKİŞEHİR
MALTEPE,40.92404171,29.15102638,CEVİZLİ
TUZLA,40.87124126,29.33149329,AYDINLI
SARIYER,41.11428516,29.06011309,İSTİNYE
SİLİVRİ,41.07046999,28.27883598,CUMHURİYET
SANCAKTEPE,40.9916744,29.22373631,ABDURRAHMANGAZİ
KARTAL,40.88755051,29.19164291,KORDONBOYU
ÜMRANİYE,41.0227853,29.1096133,ATAKENT
SULTANBEYLİ,40.98258981,29.26674689,BATTALGAZİ
SANCAKTEPE,40.98060433,29.22024278,BÜYÜKBAKKALKÖY
TUZLA,40.89881483,29.36930541,ORTA
PENDİK,40.86945447,29.26901487,KAYNARCA
SARIYER,41.17320357,29.05401308,SARIYER MERKEZ
BAKIRKÖY,40.9743736,28.8743595,ZEYTİNLİK
KARTAL,40.91051823,29.21605159,CUMHURİYET
SULTANBEYLİ,40.97286792,29.26230214,ADİL
BEYOĞLU,41.02601545,28.97975053,KEMANKEŞ KARAMUSTAFAPAŞA
KAĞITHANE,41.08423543,28.97827214,MERKEZ
ÜSKÜDAR,41.02380587,29.0420038,ALTUNİZADE
TUZLA,40.9171911,29.35437229,
SİLİVRİ,41.06504724,28.3209861,SELİMPAŞA
GAZİOSMANPAŞA,41.05809494,28.90624368,MERKEZ
ESENYURT,,,ORHAN GAZİ
BAYRAMPAŞA,41.05569525,28.89676411,KARTALTEPE
SULTANGAZİ,41.08708975,28.86891506,50. YIL
KAĞITHANE,41.07888405,29.00292394,ORTABAYIR
SANCAKTEPE,41.00798822,29.19311182,MECLİS
AVCILAR,40.98825712,28.71868008,ÜNİVERSİTE
GAZİOSMANPAŞA,41.08698267,28.88928688,KARAYOLLARI
ATAŞEHİR,40.99031873,29.17570324,FERHATPAŞA
BAHÇELİEVLER,41.01390184,28.82591129,YENİBOSNA MERKEZ
SULTANBEYLİ,40.96817004,29.25312263,HASANPAŞA
KARTAL,40.89707377,29.22570029,CUMHURİYET
TUZLA,40.90858905,29.3609861,ANADOLU
SİLİVRİ,41.06432041,28.32077228,SELİMPAŞA
BAKIRKÖY,40.98161978,28.88431083,YENİMAHALLE
KÜÇÜKÇEKMECE,41.03474573,28.76686786,ATAKENT
KARTAL,40.88918493,29.1811804,YUKARI
BAYRAMPAŞA,41.07009753,28.89254169,YILDIRIM
SANCAKTEPE,41.00975537,29.21090597,MECLİS
SİLİVRİ,41.16027818,28.18607082,BÜYÜK KILIÇLI
KADIKÖY,40.95732295,29.09763305,BOSTANCI
TUZLA,40.90348792,29.3945814,TEPEÖREN
ÇEKMEKÖY,41.06738261,29.27611352,
KARTAL,40.89118955,29.17736785,PETROL İŞ
EYÜPSULTAN,41.038761,28.9219505,TOPÇULAR
ÜMRANİYE,41.02308828,29.108036,ATAKENT
SİLİVRİ,41.04359049,28.03589148,GÜMÜŞYAKA
EYÜPSULTAN,41.0576361,28.94188186,MERKEZ
ÇEKMEKÖY,41.01394614,29.19534511,ÇAMLIK
FATİH,41.01670771,28.95509422,ZEYREK
GAZİOSMANPAŞA,41.06180709,28.90231997,HÜRRİYET
KADIKÖY,40.98389906,29.04009447,ZÜHTÜPAŞA
KARTAL,40.88955086,29.20683015,ÇAVUŞOĞLU
SARIYER,41.10741219,29.01511161,REŞİTPAŞA
BEŞİKTAŞ,41.06142149,29.01104994,GAYRETTEPE
ÇATALCA,41.22362268,28.45501922,SUBAŞI
SİLİVRİ,41.09495896,27.99693737,FEVZİPAŞA
ÇATALCA,41.150833,28.45281339,KALEİÇİ
ESENYURT,41.00012885,28.6951154,SAADETDERE
ARNAVUTKÖY,,,ÖMERLİ
PENDİK,40.86125332,29.27186713,GÜZELYALI
KÜÇÜKÇEKMECE,41.01450221,28.76814579,İSTASYON
BAKIRKÖY,40.97264735,28.78982828,ŞENLİKKÖY
ESENYURT,41.01160712,28.67935911,ZAFER
ÇATALCA,41.36927879,28.47366212,HİSARBEYLİ
AVCILAR,40.99540152,28.7046477,CİHANGİR
ATAŞEHİR,40.97938354,29.12716424,KAYIŞDAĞI
ÜSKÜDAR,41.02753436,29.02624217,SELAMİ ALİ
PENDİK,40.87931655,29.22049877,BATI
GAZİOSMANPAŞA,41.06579205,28.93356718,YILDIZTABYA
ÇEKMEKÖY,41.05215547,29.23965046,ALEMDAĞ
BAĞCILAR,41.02977568,28.86348697,MERKEZ
PENDİK,40.89684752,29.22487999,YEŞİLBAĞLAR
BAŞAKŞEHİR,41.0604331,28.6985173,BAHÇEŞEHİR 1. KISIM
EYÜPSULTAN,41.13673143,28.81707269,BOĞAZKÖY İSTİKLAL
SARIYER,41.11233072,29.04087981,POLİGON
SİLİVRİ,41.24933896,28.03778348,BÜYÜK ÇAVUŞLU
BEYOĞLU,41.03532153,28.99380776,ÖMER AVNİ
BAĞCILAR,41.04482464,28.81695939,15 TEMMUZ
PENDİK,40.8975576,29.25411386,VELİBABA
BEYLİKDÜZÜ,40.98987317,28.6684008,YAKUPLU
BÜYÜKÇEKMECE,41.06395049,28.6219796,ÇAKMAKLI
BAĞCILAR,41.02869735,28.84646128,KAZIM KARABEKİR
EYÜPSULTAN,41.03914139,28.91734304,TOPÇULAR
ESENYURT,41.02936748,28.68260853,FATİH
PENDİK,40.91920839,29.28658978,ÇAMLIK
GAZİOSMANPAŞA,41.06957312,28.9164633,KAZIM KARABEKİR
BAĞCILAR,41.04460254,28.82071922,MAHMUTBEY
TUZLA,40.83733449,29.29604496,EVLİYA ÇELEBİ
ÜSKÜDAR,41.04925741,29.07687186,BAHÇELİEVLER
ESENYURT,41.02314038,28.68670988,SULTANİYE
BAĞCILAR,41.05668763,28.83049742,GÖZTEPE
BAKIRKÖY,40.98804233,28.8841313,KARTALTEPE
BAYRAMPAŞA,41.04060278,28.91167199,İSMET PAŞA
BÜYÜKÇEKMECE,41.00956266,28.52334775,GÜZELCE
TUZLA,40.88118159,29.34513705,MESCİT
ÇEKMEKÖY,41.10996478,29.3107026,SIRAPINAR
KAĞITHANE,41.08562417,28.96854454,MERKEZ
KÜÇÜKÇEKMECE,40.98684199,28.76996141,FATİH
